SPAWNPOINT,180,144
GROUND,0,0,1000
PLATFORM,0,72,5
ENEMY,200,144,FIREMAGE,150,250
GROUND,1100,0,1500
PLATFORM,450,72,3
ENEMY,550,144,FIREBALL,500,600
PLATFORM,700,144,2
GROUND,1600,0,2000
PLATFORM,900,144,2
PLATFORM,1100,144,2
PLATFORM,1300,124,2
CHECKPOINT,1372,196
GROUND,2100,0,2500
PLATFORM,1500,124,3
PLATFORM,1750,94,2
ENEMY,1800,166,FIREBALL,1750,1850
GROUND,2600,0,3000
PLATFORM,1950,104,2
PLATFORM,2150,124,3
ENEMY,2250,196,FIREMAGE,2200,2300
GROUND,3100,0,3500
PLATFORM,2400,144,3
ENEMY,2550,216,FIREBALL,2500,2600
PLATFORM,2700,172,2
PLATFORM,2900,144,2
GROUND,3600,0,4000
