SPAWNPOINT,180,144
GROUND,0,0,800
PLATFORM,0,72,4
ENEMY,200,144,FIREMAGE,150,250
GROUND,900,0,1300
PLATFORM,400,72,2
ENEMY,500,144,FIREBALL,450,550
PLATFORM,700,144,2
GROUND,1400,0,1800
PLATFORM,950,172,1
PLATFORM,1200,144,1
ENEMY,1220,216,FIREMAGE,1170,1270
GROUND,1900,0,2300
PLATFORM,1450,124,2
PLATFORM,1700,94,2
ENEMY,1720,166,FIREBALL,1670,1770
GROUND,2400,0,2800
CHECKPOINT,1822,166
PLATFORM,1950,144,2
GROUND,2900,0,3300
PLATFORM,2200,104,1
ENEMY,2220,176,FIREBALL,2170,2270
GROUND,3400,0,3800
PLATFORM,2450,144,2
ENEMY,2470,216,FIREMAGE,2420,2520
PLATFORM,2700,172,1
ENEMY,2720,244,FIREBALL,2670,2770
GROUND,3900,0,4300
PLATFORM,2950,144,2
PLATFORM,3200,124,2
ENEMY,3220,196,FIREBALL,3170,3270
PLATFORM,3450,94,2
PLATFORM,3700,144,2
GROUND,4400,0,4500
